DATAFLOW;LAST UPDATE;freq;unit;s_adj;na_item;geo;TIME_PERIOD;GDP;C;I
ESTAT:NAMQ_10_GDP(1.0);22/04/2026 11:00;Quarterly;Chain linked volumes (2010), million euro;Seasonally and calendar adjusted data;Gross domestic product at market prices;Spain;1995-Q1;178588.8;136609.5;37941.9
ESTAT:NAMQ_10_GDP(1.0);22/04/2026 11:00;Quarterly;Chain linked volumes (2010), million euro;Seasonally and calendar adjusted data;Gross domestic product at market prices;Spain;1995-Q2;179766.0;137592.3;38315.5
ESTAT:NAMQ_10_GDP(1.0);22/04/2026 11:00;Quarterly;Chain linked volumes (2010), million euro;Seasonally and calendar adjusted data;Gross domestic product at market prices;Spain;1995-Q3;180561.7;137900.1;38381.0
ESTAT:NAMQ_10_GDP(1.0);22/04/2026 11:00;Quarterly;Chain linked volumes (2010), million euro;Seasonally and calendar adjusted data;Gross domestic product at market prices;Spain;1995-Q4;181928.6;138864.6;38395.3
ESTAT:NAMQ_10_GDP(1.0);22/04/2026 11:00;Quarterly;Chain linked volumes (2010), million euro;Seasonally and calendar adjusted data;Gross domestic product at market prices;Spain;1996-Q1;182974.5;138875.6;38717.7
ESTAT:NAMQ_10_GDP(1.0);22/04/2026 11:00;Quarterly;Chain linked volumes (2010), million euro;Seasonally and calendar adjusted data;Gross domestic product at market prices;Spain;1996-Q2;184239.5;140252.5;38902.9
ESTAT:NAMQ_10_GDP(1.0);22/04/2026 11:00;Quarterly;Chain linked volumes (2010), million euro;Seasonally and calendar adjusted data;Gross domestic product at market prices;Spain;1996-Q3;185750.8;141396.1;39623.4
ESTAT:NAMQ_10_GDP(1.0);22/04/2026 11:00;Quarterly;Chain linked volumes (2010), million euro;Seasonally and calendar adjusted data;Gross domestic product at market prices;Spain;1996-Q4;186674.9;141768.2;39617.3
ESTAT:NAMQ_10_GDP(1.0);22/04/2026 11:00;Quarterly;Chain linked volumes (2010), million euro;Seasonally and calendar adjusted data;Gross domestic product at market prices;Spain;1997-Q1;188536.4;142300.9;40552.8
ESTAT:NAMQ_10_GDP(1.0);22/04/2026 11:00;Quarterly;Chain linked volumes (2010), million euro;Seasonally and calendar adjusted data;Gross domestic product at market prices;Spain;1997-Q2;190237.4;142755.6;41038.9
ESTAT:NAMQ_10_GDP(1.0);22/04/2026 11:00;Quarterly;Chain linked volumes (2010), million euro;Seasonally and calendar adjusted data;Gross domestic product at market prices;Spain;1997-Q3;192349.1;143674.2;41481.0
