STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;freq;Time frequency;unit;Unit of measure;s_adj;Seasonal adjustment;na_item;National accounts indicator (ESA 2010);geo;Geopolitical entity (reporting);TIME_PERIOD;GDP;C;I
dataflow;ESTAT:NAMQ_10_GDP(1.0);Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data;Q;Quarterly;CP_MEUR;Current prices, million euro;SCA;Seasonally and calendar adjusted data;B1GQ;Gross domestic product at market prices;ES;Spain;1995-Q1;112794.6;88813.1;24615.5
dataflow;ESTAT:NAMQ_10_GDP(1.0);Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data;Q;Quarterly;CP_MEUR;Current prices, million euro;SCA;Seasonally and calendar adjusted data;B1GQ;Gross domestic product at market prices;ES;Spain;1995-Q2;116212.4;91339.4;25650.8
dataflow;ESTAT:NAMQ_10_GDP(1.0);Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data;Q;Quarterly;CP_MEUR;Current prices, million euro;SCA;Seasonally and calendar adjusted data;B1GQ;Gross domestic product at market prices;ES;Spain;1995-Q3;119324.9;93829.7;26148.8
dataflow;ESTAT:NAMQ_10_GDP(1.0);Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data;Q;Quarterly;CP_MEUR;Current prices, million euro;SCA;Seasonally and calendar adjusted data;B1GQ;Gross domestic product at market prices;ES;Spain;1995-Q4;121659.6;95326.4;26497.4
dataflow;ESTAT:NAMQ_10_GDP(1.0);Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data;Q;Quarterly;CP_MEUR;Current prices, million euro;SCA;Seasonally and calendar adjusted data;B1GQ;Gross domestic product at market prices;ES;Spain;1996-Q1;124809.3;97267.4;27396.6
dataflow;ESTAT:NAMQ_10_GDP(1.0);Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data;Q;Quarterly;CP_MEUR;Current prices, million euro;SCA;Seasonally and calendar adjusted data;B1GQ;Gross domestic product at market prices;ES;Spain;1996-Q2;126056.0;98720.6;27063.8
dataflow;ESTAT:NAMQ_10_GDP(1.0);Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data;Q;Quarterly;CP_MEUR;Current prices, million euro;SCA;Seasonally and calendar adjusted data;B1GQ;Gross domestic product at market prices;ES;Spain;1996-Q3;127418.0;99190.4;27616.8
dataflow;ESTAT:NAMQ_10_GDP(1.0);Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data;Q;Quarterly;CP_MEUR;Current prices, million euro;SCA;Seasonally and calendar adjusted data;B1GQ;Gross domestic product at market prices;ES;Spain;1996-Q4;127825.2;99166.7;27730.1
dataflow;ESTAT:NAMQ_10_GDP(1.0);Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data;Q;Quarterly;CP_MEUR;Current prices, million euro;SCA;Seasonally and calendar adjusted data;B1GQ;Gross domestic product at market prices;ES;Spain;1997-Q1;127308.5;99140.1;27729.2
dataflow;ESTAT:NAMQ_10_GDP(1.0);Gross domestic product (GDP) and main components (output, expenditure and income) - quarterly data;Q;Quarterly;CP_MEUR;Current prices, million euro;SCA;Seasonally and calendar adjusted data;B1GQ;Gross domestic product at market prices;ES;Spain;1997-Q2;128355.5;98870.2;28683.0
